section,unit,dutch,english,russian,notes,examples
2,39,ik sta boveaan,I am on the top,я на верху,,
2,39,boventop,top,верх ,,
2,39,links,left,лево,,
2,39,kant,side,сторона,,
2,39,richting,direction,направление,,
2,39,beveaan,top,вершина,,
2,39,niet maar beneden kijken,do not look down,не смотри вниз,,
2,39,slaat linksaf,turns left,повернуть на лево,,
2,39,boven ,above / top,над ,,
2,39,opzij,aside,всторону,,
2,39,ga rechtdoor,go  straight,идти вперед,,
2,39,niet omlaag kijken,do not look down,не свотри вниз,,
2,39,kijk omhoog,lock up,смотри вверх,,
2,39,ik fiets rechtdoor,I am biking straight ahead,я еду вперед,,
